Wallet_Main;Wallet_Sub_Category;Wallet_Sub2_Category;BlueCoin_Type;BlueCoin_Main;BlueCoin_Sub_Category;Note
Food & Drinks;Občerstvení;Bar;Expense;Obcerstveni;Bar;
Food & Drinks;Občerstvení;Cukrárna;Expense;Obcerstveni;Cukrarna;
Food & Drinks;Občerstvení;Fastfood;Expense;Obcerstveni;Fastfood;
Food & Drinks;Občerstvení;Hospoda;Expense;Obcerstveni;Hospoda;
Food & Drinks;Občerstvení;Jídelna;Expense;Obcerstveni;Jidelna;
Food & Drinks;Občerstvení;Kavárna;Expense;Obcerstveni;Kavarna;
Food & Drinks;Občerstvení;Restaurace;Expense;Obcerstveni;Restaurace;
Food & Drinks;Groceries;Alkohol;Expense;Nakup;Alkohol;
Food & Drinks;Groceries;Doplňky stravy;Expense;Nakup;Doplnky stravy;
Food & Drinks;Groceries;Potraviny;Expense;Nakup;Potraviny;
Food & Drinks;Work;Oběd;Expense;Prace;Obed;
Food & Drinks;Work;Svačina;Expense;Prace;Svacina;
Shopping;Clothes & shoes;Oblečení;Expense;Nakup;Obleceni;
Shopping;Clothes & shoes;Boty;Expense;Nakup;Shoes;
Shopping;Drug-store, chemist;Drogerie, Hyg. potřeby;Expense;Nakup;Drogerie, Hyg. potreby;
Shopping;Drug-store, chemist;Léky;Expense;Nakup;Leky;
Shopping;Electronic, acesories;Elektronika;Expense;Nakup;Elektronika;
Shopping;NotUsed;;;;;
Shopping;Gifts, joy;Dárky;Expense;Nakup;Darky;
Shopping;Gifts, joy;Erotic;Expense;Nakup;Erotic;
Shopping;Gifts, joy;Květiny;Expense;Nakup;Kvetiny;
Shopping;Ostatní;;Expense;Nakup;Ostatni;na Skupinu 2
Shopping;Home, garden;Bydlení, accesories;Expense;Nakup;Bydleni, accesories;
Shopping;Home, garden;Nábytek;Expense;Nakup;Nabytek;
Shopping;Jewels, accessories;Sperky;Expense;Nakup;Sperky;
Shopping;Kids;Kids-Hračky;Expense;Nakup;Hracky;
Shopping;Pets, animals;Feromony;Expense;Zvirata;Feromony;
Shopping;Pets, animals;Pets-Hračky;Expense;Zvirata;Hracky;
Shopping;Pets, animals;Krmivo;Expense;Zvirata;Krmivo;
Shopping;Pets, animals;Pamlsky;Expense;Zvirata;Pamlsky;
Shopping;Pets, animals;Podestýlka;Expense;Zvirata;Podestylka;
Shopping;Stationery, tools;Nářadí;Expense;Nakup;Naradi;
Shopping;Stationery, tools;Stationery;Expense;Nakup;Stationery;
Housing;Energy, utilities;Elektřina;Expense;Bydleni - vydaj;Elektrina;
Housing;Energy, utilities;Elektřina;Income;Bydleni - prijem;Vratky - elektrina;
Housing;Energy, utilities;Voda;Expense;Bydleni - vydaj;Voda;
Housing;Energy, utilities;Voda;Income;Bydleni - prijem;Vratky - voda;
Housing;Energy, utilities;Palivové dřevo;Expense;Nakup;Palivove drevo;
Housing;Energy, utilities;Plyn;;;;
Housing;Maintenance, repairs;Fond Oprav;Expense;Bydleni - vydaj;Fond oprav;
Housing;Maintenance, repairs;Úklid;Expense;Bydleni - vydaj;Uklid;
Housing;Maintenance, repairs;Revize;Expense;Bydleni - vydaj;Revize;
Housing;Maintenance, repairs;Opravář;Expense;Sluzby;Opravar;
Housing;Mortage, loans;Hypotéka - úmor;Expense;Bankovni operace - vydaje;Hypoteka - umor;
Housing;Mortage, loans;Hypotéka - úrok;Expense;Bankovni operace - vydaje;Hypoteka - urok;
Housing;Mortage, loans;Stavebko - úmor;Expense;Bankovni operace - vydaje;Stavebko - umor;
Housing;Mortage, loans;Stavebko - úrok;Expense;Bankovni operace - vydaje;Stavebko - urok;
Housing;Mortage, loans;Půjčka - úrok;;;;
Housing;Mortage, loans;Půjčka - úmor;;;;
Housing;Property insurance;Pojištění domáctnosti;Expense;Financni sluzby;Pojisteni domactnosti;
Housing;Property insurance;Pojištění nemovitosti;Expense;Financni sluzby;Pojisteni nemovitosti;
Housing;Rent;;;;;
Housing;Services;Popelnice;Expense;Bydleni - vydaj;Popelnice;
Transportation;Business trip;;;;;
Transportation;Long distance;Letadlo;Expense;Doprava;Letadlo;
Transportation;Long distance;Airport fees;Expense;Doprava;Airport fees;
Transportation;Transport;Auto - s někým;Expense;Doprava;Auto - s nekym;
Transportation;Transport;Autobus;Expense;Doprava;Autobus;
Transportation;Transport;Ferry;Expense;Doprava;Ferry;
Transportation;Transport;Lanovka;Expense;Doprava;Lanovka;
Transportation;Transport;MHD;Expense;Doprava;MHD;
Transportation;Transport;Vlak;Expense;Doprava;Vlak;
Transportation;Transport;Taxi;Expense;Doprava;Taxi;
Transportation;Highway, Tolls;Dalnicni známky;Expense;Doprava;Dalnicni znamky;
Transportation;Highway, Tolls;Toll;Expense;Doprava;Toll;
Vehicle;Fuel;Diesel;Expense;Auto;Diesel;
Vehicle;Fuel;Benzín;Expense;Auto;Benzin;
Vehicle;Car shopping;Nákup;Expense;Auto;Nakup;
Vehicle;Parking;Parkování;Expense;Sluzby;Parkovani;
Vehicle;Rentals, Loans;Pronájem;Expense;Auto;Pronajem;
Vehicle;Rentals, Loans;Vehicle - Půjčka - úmor;Expense;Bankovni operace - vydaje;Vehicle - umor;
Vehicle;Rentals, Loans;Vehicle - Půjčka - úrok;Expense;Bankovni operace - vydaje;Vehicle - urok;
Vehicle;Vehicle insurance;Povinné ručení;Expense;Financni sluzby;Povinne ruceni;
Vehicle;Vehicle insurance;Pojištění auta;Expense;Financni sluzby;Pojisteni auta;
Vehicle;Vehicle insurance;Pojištění auta;Income;Financni sluzby;Pojisteni - plneni;
Vehicle;Vehicle maintenance;Servis;Expense;Auto;Servis;
Vehicle;Vehicle maintenance;Mytí;Expense;Auto;Myti;
Life & Entertaiment;Active sport, fitness;Bazén;Expense;Sport;Bazen;
Life & Entertaiment;Active sport, fitness;Cvičení;Expense;Sport;Cviceni;
Life & Entertaiment;Active sport, fitness;Fitko;Expense;Sport;Fitko;
Life & Entertaiment;Active sport, fitness;PingPong;Expense;Sport;Pingpong;
Life & Entertaiment;Active sport, fitness;Multisport;Expense;Prace;Multisport;
