Type;Date;Time;From_Account;To_Account;From_Amount;From_Amount_LCY;To_Amount;To_Amount_LCY;From_Currency;To_Currency;Payment_type;Payment_Status;Labels;Notes
Transfer;2021-01-04;07:00;AXA;KB - Personal - účet;7314.02;7314.02;7314.02;7314.02;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-01-04;07:00;Conseq;KB - Personal - účet;2887.01;2887.01;2887.01;2887.01;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-01-05;14:38;KB - Personal - účet;AirBank - Spořící;10000.0;10000.0;10000.0;10000.0;CZK;CZK;Transfer;Reconciled;['Vklad - Honza'];Svatba
Transfer;2021-01-05;18:53;CZK;KB - Personal - účet;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2021-01-11;07:38;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-01-13;13:55;KB - Personal - účet;AirBank - Spořící;10000.0;10000.0;10000.0;10000.0;CZK;CZK;Transfer;Reconciled;['Vklad - Honza'];Svatba
Transfer;2021-01-13;13:55;KB - Personal - účet;AirBank - Společný;5000.0;5000.0;5000.0;5000.0;CZK;CZK;Transfer;Reconciled;['Vklad - Honza'];
Transfer;2021-01-15;14:46;KB - Personal - účet;CZK;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2021-01-21;17:22;KB - Personal - účet;CZK;4000.0;4000.0;4000.0;4000.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2021-01-23;18:38;AirBank - Spořící;AirBank - Společný;1117.37;1117.37;1117.37;1117.37;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-01-28;18:00;KB - Personal - účet;CZK;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2021-02-01;08:30;CZK;KB - Personal - účet;3000.0;3000.0;3000.0;3000.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2021-02-02;19:26;AirBank - Spořící;AirBank - Společný;339.15;339.15;339.15;339.15;CZK;CZK;Transfer;Reconciled;[];
