Type;Date;Time;From_Account;To_Account;From_Amount;From_Amount_LCY;To_Amount;To_Amount_LCY;From_Currency;To_Currency;Payment_type;Payment_Status;Labels;Notes
Transfer;2016-11-10;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2016-11-10;00:00;Stravenky;CZK;5.0;5.0;5.0;5.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2016-11-11;00:00;Trezor;CZK;200.0;200.0;200.0;200.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2016-11-11;00:00;Stravenky;CZK;5.0;5.0;5.0;5.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2016-11-12;00:00;KB - Personal - účet;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2016-11-14;00:00;Stravenky;CZK;5.0;5.0;5.0;5.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2016-11-15;00:00;KB - Personal - účet;CZK;1500.0;1500.0;1500.0;1500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2016-11-16;00:00;Stravenky;CZK;5.0;5.0;5.0;5.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2016-11-16;00:00;KB - Personal - účet;CZK;600.0;600.0;600.0;600.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2016-11-18;00:00;KB - Personal - účet;CZK;600.0;600.0;600.0;600.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2016-11-21;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2016-11-22;00:00;Stravenky;CZK;5.0;5.0;5.0;5.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2016-11-22;00:00;Trezor;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2016-11-26;00:00;Trezor;CZK;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2016-11-27;00:00;KB - Personal - účet;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2016-11-27;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2016-11-29;00:00;Trezor;CZK;6000.0;6000.0;6000.0;6000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2016-12-05;00:00;KB - Personal - účet;CZK;600.0;600.0;600.0;600.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2016-12-07;00:00;KB - Personal - účet;CZK;1500.0;1500.0;1500.0;1500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2016-12-08;00:00;KB - Personal - účet;Allianz - Penzijní pripojištění;300.0;300.0;300.0;300.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2016-12-11;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2016-12-12;00:00;Trezor;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2016-12-13;00:00;KB - Personal - účet;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2016-12-13;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2016-12-14;00:00;Trezor;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2016-12-18;00:00;Trezor;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2016-12-19;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2016-12-21;00:00;KB - Personal - účet;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2016-12-22;00:00;Trezor;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2016-12-23;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2016-12-23;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2016-12-25;00:00;KB - Personal - účet;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2016-12-30;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2016-12-30;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-01-02;00:00;Trezor;CZK;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-01-05;00:00;Trezor;CZK;5000.0;5000.0;5000.0;5000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-01-05;00:00;CZK;KB - Personal - účet;5000.0;5000.0;5000.0;5000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-01-07;00:00;Trezor;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-01-08;00:00;Trezor;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-01-09;00:00;Trezor;CZK;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-01-11;00:00;KB - Personal - účet;CZK;11000.0;11000.0;11000.0;11000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-01-11;00:00;CZK;Trezor;10000.0;10000.0;10000.0;10000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-01-11;00:00;KB - Personal - účet;Allianz - Penzijní pripojištění;300.0;300.0;300.0;300.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-01-13;00:00;KB - Personal - účet;CZK;5000.0;5000.0;5000.0;5000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-01-13;00:00;CZK;Trezor;4000.0;4000.0;4000.0;4000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-01-13;00:00;Trezor;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-01-17;00:00;KB - Personal - účet;CZK;800.0;800.0;800.0;800.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-01-19;00:00;KB - Personal - účet;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-01-20;00:00;CZK;Trezor;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-01-22;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-01-24;00:00;Trezor;CZK;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-01-27;00:00;Trezor;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-01-29;00:00;Trezor;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-01-30;00:00;Trezor;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-01-31;00:00;Trezor;CZK;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-02-03;00:00;Trezor;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-02-04;00:00;Trezor;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-02-10;00:00;KB - Personal - účet;Trezor;12000.0;12000.0;12000.0;12000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-02-10;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-02-11;00:00;KB - Personal - účet;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-02-15;00:00;KB - Personal - účet;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-02-17;00:00;SEK;CZK;20.0;50.35;50.35;50.35;SEK;CZK;Transfer;Reconciled;[];
Transfer;2017-02-17;00:00;KB - Personal - účet;CZK;600.0;600.0;600.0;600.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-02-17;00:00;CZK;Stravenky;200.0;200.0;200.0;200.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-02-20;00:00;Trezor;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-02-20;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-02-20;00:00;KB - Personal - účet;Allianz - Penzijní pripojištění;300.0;300.0;300.0;300.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-02-22;00:00;Trezor;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-02-28;00:00;Trezor;KB - Personal - účet;5000.0;5000.0;5000.0;5000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-03-01;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-03-02;00:00;Trezor;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-03-06;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-03-07;00:00;KB - Personal - účet;Allianz - Penzijní pripojištění;300.0;300.0;300.0;300.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-03-08;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-03-10;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-03-14;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-03-18;00:00;KB - Personal - účet;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-03-18;00:00;KB - Personal - účet;CZK;600.0;600.0;600.0;600.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-03-19;00:00;KB - Personal - účet;CZK;600.0;600.0;600.0;600.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-03-21;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-03-24;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-03-26;00:00;KB - Personal - účet;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-03-27;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-03-29;00:00;KB - Personal - účet;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-03-29;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-03-30;00:00;KB - Personal - účet;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-04-02;00:00;KB - Personal - účet;CZK;600.0;600.0;600.0;600.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-04-04;00:00;KB - Personal - účet;Trezor;21000.0;21000.0;21000.0;21000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-04-04;00:00;KB - Personal - účet;Trezor;5000.0;5000.0;5000.0;5000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-04-07;00:00;Trezor;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-04-07;00:00;KB - Personal - účet;Allianz - Penzijní pripojištění;300.0;300.0;300.0;300.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-04-09;00:00;Trezor;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-04-13;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-04-14;00:00;Trezor;CZK;10000.0;10000.0;10000.0;10000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-04-14;00:00;KB - Personal - účet;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-04-23;00:00;KB - Personal - účet;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-04-25;00:00;KB - Personal - účet;CZK;4500.0;4500.0;4500.0;4500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-04-27;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-04-28;00:00;Trezor;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-04-30;00:00;KB - Personal - účet;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-05-03;00:00;KB - Personal - účet;CZK;400.0;400.0;400.0;400.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-05-05;00:00;Trezor;CZK;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-05-09;00:00;Trezor;CZK;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-05-12;00:00;KB - Personal - účet;CZK;1500.0;1500.0;1500.0;1500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-05-13;00:00;KB - Personal - účet;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-05-15;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-05-15;00:00;KB - Personal - účet;Allianz - Penzijní pripojištění;300.0;300.0;300.0;300.0;CZK;CZK;Transfer;Reconciled;[];
