Type;Date;Notes;Labels;From_Account;From_Amount;From_Amount_LCY;From_Currency;From_Exchange_Rate;To_Account;To_Amount;To_Amount_LCY;To_Currency;To_Exchange_Rate;Time;Payment type;Payment status;Place
Transfer;2022-11-15;;['Vklad - Honza'];KB - Personal - účet;43.6;43.6;CZK;1.0;AirBank - Společný;43.6;43.6;CZK;1.0;20:54;Transfer;Cleared;
Transfer;2022-11-15;Kaufland: omylem zaplaceno společnou kartou;['Vklad - Honza'];AirBank - Společný;43.6;43.6;CZK;1.0;CZK;43.6;43.6;CZK;1.0;19:58;Transfer;Cleared;
Transfer;2022-11-11;;['Vklad - Honza'];CZK;40.0;40.0;CZK;1.0;CZK - Společný;40.0;40.0;CZK;1.0;00:15;Transfer;Reconciled;
Transfer;2022-11-09;Záloha na Salinkartu;['Vklad - Honza'];KB - Personal - účet;500.0;500.0;CZK;1.0;AirBank - Spořící;500.0;500.0;CZK;1.0;10:26;Transfer;Cleared;
Transfer;2022-11-09;Zaloha na Renault Laguna service, pojisteni, ruceni;['Renault Laguna', 'Vklad - Honza'];KB - Personal - účet;1000.0;1000.0;CZK;1.0;AirBank - Spořící;1000.0;1000.0;CZK;1.0;10:26;Transfer;Cleared;
Transfer;2022-11-09;;['Vklad - Honza'];KB - Personal - účet;10000.0;10000.0;CZK;1.0;AirBank - Společný;10000.0;10000.0;CZK;1.0;10:26;Transfer;Cleared;
Transfer;2022-11-09;;['Vklad - Honza'];KB - Personal - účet;20000.0;20000.0;CZK;1.0;AirBank - Spořící;20000.0;20000.0;CZK;1.0;10:26;Transfer;Cleared;
Transfer;2022-11-08;;['Vklad - Honza'];AirBank - Spořící;884.13;884.13;CZK;1.0;KB - Personal - účet;884.13;884.13;CZK;1.0;11:30;Transfer;Cleared;
Transfer;2022-11-06;;[];AirBank - Spořící;2000.0;2000.0;CZK;1.0;AirBank - Společný;2000.0;2000.0;CZK;1.0;04:25;Transfer;Reconciled;
Transfer;2022-11-05;;[];AirBank - Spořící;4000.0;4000.0;CZK;1.0;AirBank - Společný;4000.0;4000.0;CZK;1.0;19:47;Transfer;Reconciled;
Transfer;2022-11-05;;[];AirBank - Společný;406.14;406.14;CZK;1.0;HRK;122.0;36.647461464799996;HRK;0.3003890284;16:55;Transfer;Reconciled;
Transfer;2022-11-03;;[];AirBank - Spořící;6000.0;6000.0;CZK;1.0;AirBank - Společný;6000.0;6000.0;CZK;1.0;17:48;Transfer;Reconciled;
Transfer;2022-11-03;;[];EUR;8.0;0.3147099864;EUR;0.0393387483;HRK;60.0;17.702436738;HRK;0.2950406123;16:43;Transfer;Reconciled;
Transfer;2022-11-03;;[];EUR;20.0;0.786774966;EUR;0.0393387483;HRK;149.0;43.667977560100006;HRK;0.2930736749;09:10;Transfer;Reconciled;
Transfer;2022-11-02;;[];AirBank - Spořící;2000.0;2000.0;CZK;1.0;AirBank - Společný;2000.0;2000.0;CZK;1.0;17:29;Transfer;Reconciled;
Transfer;2022-11-01;;[];AirBank - Spořící;3000.0;3000.0;CZK;1.0;AirBank - Společný;3000.0;3000.0;CZK;1.0;16:53;Transfer;Reconciled;
Transfer;2022-11-01;;[];KB - Personal - účet;7600.0;7600.0;CZK;1.0;CZK;7600.0;7600.0;CZK;1.0;15:28;Transfer;Cleared;
Transfer;2022-11-01;;['Vklad - Honza'];AirBank - Spořící;7500.0;7500.0;CZK;1.0;KB - Personal - účet;7500.0;7500.0;CZK;1.0;14:40;Transfer;Cleared;
Transfer;2022-11-01;;['Vklad - Honza'];CZK - Společný;83.0;83.0;CZK;1.0;CZK;83.0;83.0;CZK;1.0;11:25;Transfer;Reconciled;
Transfer;2022-11-01;;['Vklad - Honza'];CZK - Společný;16.0;16.0;CZK;1.0;CZK;16.0;16.0;CZK;1.0;06:38;Transfer;Cleared;
Transfer;2022-10-31;;[];AirBank - Spořící;3000.0;3000.0;CZK;1.0;AirBank - Společný;3000.0;3000.0;CZK;1.0;20:26;Transfer;Reconciled;
Transfer;2022-10-29;;['Vklad - Honza'];CZK - Společný;50.0;50.0;CZK;1.0;CZK;50.0;50.0;CZK;1.0;22:14;Transfer;Reconciled;
Transfer;2022-10-29;;[];AirBank - Spořící;4000.0;4000.0;CZK;1.0;AirBank - Společný;4000.0;4000.0;CZK;1.0;11:22;Transfer;Reconciled;
Transfer;2022-10-27;;[];CZK;500.0;500.0;CZK;1.0;KB - Personal - účet;500.0;500.0;CZK;1.0;16:12;Transfer;Cleared;
Transfer;2022-10-25;;[];AirBank - Společný;1400.0;1400.0;CZK;1.0;CZK - Společný;1400.0;1400.0;CZK;1.0;14:54;Transfer;Reconciled;
Transfer;2022-10-24;;['Vklad - Honza'];CZK - Společný;100.0;100.0;CZK;1.0;CZK;100.0;100.0;CZK;1.0;17:23;Transfer;Reconciled;
Transfer;2022-10-24;Vrátka na T-Mobile platbu a kadernika;['Vklad - Honza'];AirBank - Spořící;1000.0;1000.0;CZK;1.0;KB - Personal - účet;1000.0;1000.0;CZK;1.0;14:41;Transfer;Reconciled;
Transfer;2022-10-19;;['Vklad - Honza'];CZK - Společný;50.0;50.0;CZK;1.0;CZK;50.0;50.0;CZK;1.0;17:14;Transfer;Reconciled;
Transfer;2022-10-18;;['Vklad - Honza'];CZK - Společný;12.0;12.0;CZK;1.0;CZK;12.0;12.0;CZK;1.0;14:28;Transfer;Reconciled;
Transfer;2022-10-13;;['Vklad - Honza'];AirBank - Spořící;5000.0;5000.0;CZK;1.0;KB - Personal - účet;5000.0;5000.0;CZK;1.0;08:53;Transfer;Reconciled;
Transfer;2022-10-13;;['Vklad - Honza'];KB - Personal - účet;40000.0;40000.0;CZK;1.0;AirBank - Spořící;40000.0;40000.0;CZK;1.0;07:01;Transfer;Reconciled;
Transfer;2022-10-13;;['Vklad - Honza'];KB - Personal - účet;10000.0;10000.0;CZK;1.0;AirBank - Společný;10000.0;10000.0;CZK;1.0;07:00;Transfer;Reconciled;
Transfer;2022-10-13;Zaloha na Renault Laguna service, pojisteni, ruceni;['Renault Laguna', 'Vklad - Honza'];KB - Personal - účet;1000.0;1000.0;CZK;1.0;AirBank - Spořící;1000.0;1000.0;CZK;1.0;07:00;Transfer;Reconciled;
Transfer;2022-10-13;Záloha na Salinkartu;['Vklad - Honza'];KB - Personal - účet;500.0;500.0;CZK;1.0;AirBank - Spořící;500.0;500.0;CZK;1.0;07:00;Transfer;Reconciled;
Transfer;2022-10-11;;['Vklad - Honza'];AirBank - Spořící;1000.0;1000.0;CZK;1.0;KB - Personal - účet;1000.0;1000.0;CZK;1.0;11:32;Transfer;Reconciled;
Transfer;2022-10-10;;[];AirBank - Spořící;1000.0;1000.0;CZK;1.0;AirBank - Společný;1000.0;1000.0;CZK;1.0;11:19;Transfer;Reconciled;
Transfer;2022-10-08;;[];AirBank - Spořící;192.52;192.52;CZK;1.0;AirBank - Společný;192.52;192.52;CZK;1.0;11:10;Transfer;Reconciled;
Transfer;2022-10-07;;[];AirBank - Společný;800.0;800.0;CZK;1.0;CZK - Společný;800.0;800.0;CZK;1.0;14:17;Transfer;Reconciled;
Transfer;2022-10-07;;[];AirBank - Spořící;2000.0;2000.0;CZK;1.0;AirBank - Společný;2000.0;2000.0;CZK;1.0;14:15;Transfer;Reconciled;
Transfer;2022-10-06;Na svacinu;['Vklad - Honza'];CZK - Společný;36.0;36.0;CZK;1.0;CZK;36.0;36.0;CZK;1.0;13:15;Transfer;Reconciled;
Transfer;2022-10-02;;[];AirBank - Spořící;1000.0;1000.0;CZK;1.0;AirBank - Společný;1000.0;1000.0;CZK;1.0;11:54;Transfer;Reconciled;
Transfer;2022-10-01;;[];AirBank - Společný;2000.0;2000.0;CZK;1.0;CZK - Společný;2000.0;2000.0;CZK;1.0;11:16;Transfer;Reconciled;
Transfer;2022-10-01;;[];AirBank - Spořící;1000.0;1000.0;CZK;1.0;AirBank - Společný;1000.0;1000.0;CZK;1.0;11:15;Transfer;Reconciled;
Transfer;2022-10-01;;[];AirBank - Spořící;1000.0;1000.0;CZK;1.0;AirBank - Společný;1000.0;1000.0;CZK;1.0;11:12;Transfer;Reconciled;
Transfer;2022-09-27;;['Vklad - Honza'];AirBank - Spořící;1000.0;1000.0;CZK;1.0;KB - Personal - účet;1000.0;1000.0;CZK;1.0;16:43;Transfer;Reconciled;
Transfer;2022-09-26;;['Vklad - Honza'];AirBank - Spořící;1000.0;1000.0;CZK;1.0;KB - Personal - účet;1000.0;1000.0;CZK;1.0;15:41;Transfer;Reconciled;
Transfer;2022-09-23;;[];AirBank - Spořící;6000.0;6000.0;CZK;1.0;AirBank - Společný;6000.0;6000.0;CZK;1.0;21:02;Transfer;Reconciled;
Transfer;2022-09-23;;[];AirBank - Spořící;6000.0;6000.0;CZK;1.0;AirBank - Společný;6000.0;6000.0;CZK;1.0;21:01;Transfer;Reconciled;
Transfer;2022-09-22;;[];AirBank - Společný;2000.0;2000.0;CZK;1.0;CZK - Společný;2000.0;2000.0;CZK;1.0;14:55;Transfer;Reconciled;
Transfer;2022-09-22;;[];AirBank - Spořící;2000.0;2000.0;CZK;1.0;AirBank - Společný;2000.0;2000.0;CZK;1.0;14:55;Transfer;Reconciled;
Transfer;2022-09-22;Povinné ručení a pojisteni;['Renault Laguna', 'Vklad - Honza'];AirBank - Spořící;9714.0;9714.0;CZK;1.0;KB - Personal - účet;9714.0;9714.0;CZK;1.0;14:18;Transfer;Reconciled;
Transfer;2022-09-22;;[];AirBank - Spořící;1000.0;1000.0;CZK;1.0;AirBank - Společný;1000.0;1000.0;CZK;1.0;07:46;Transfer;Reconciled;
Transfer;2022-09-21;;[];KB - Personal - účet;1000.0;1000.0;CZK;1.0;CZK;1000.0;1000.0;CZK;1.0;15:40;Transfer;Reconciled;
Transfer;2022-09-21;Vyber na práci za instalaci kamery;['Renault Laguna', 'Vklad - Honza'];AirBank - Spořící;1100.0;1100.0;CZK;1.0;KB - Personal - účet;1100.0;1100.0;CZK;1.0;14:50;Transfer;Reconciled;
Transfer;2022-09-21;;[];AirBank - Spořící;1000.0;1000.0;CZK;1.0;AirBank - Společný;1000.0;1000.0;CZK;1.0;12:02;Transfer;Reconciled;
Transfer;2022-09-19;;['Renault Laguna', 'Vklad - Honza'];AirBank - Spořící;466.0;466.0;CZK;1.0;KB - Personal - účet;466.0;466.0;CZK;1.0;20:42;Transfer;Reconciled;
Transfer;2022-09-19;;[];AirBank - Spořící;1000.0;1000.0;CZK;1.0;AirBank - Společný;1000.0;1000.0;CZK;1.0;20:38;Transfer;Reconciled;
Transfer;2022-09-19;;[];KB - Personal - účet;200.0;200.0;CZK;1.0;CZK;200.0;200.0;CZK;1.0;09:31;Transfer;Cleared;
Transfer;2022-09-16;;[];AirBank - Spořící;2000.0;2000.0;CZK;1.0;AirBank - Společný;2000.0;2000.0;CZK;1.0;21:05;Transfer;Reconciled;
Transfer;2022-09-15;;[];AirBank - Spořící;5000.0;5000.0;CZK;1.0;AirBank - Společný;5000.0;5000.0;CZK;1.0;19:40;Transfer;Reconciled;
Transfer;2022-09-13;;[];AirBank - Spořící;1000.0;1000.0;CZK;1.0;AirBank - Společný;1000.0;1000.0;CZK;1.0;15:33;Transfer;Reconciled;
Transfer;2022-09-13;;[];AirBank - Spořící;1000.0;1000.0;CZK;1.0;AirBank - Společný;1000.0;1000.0;CZK;1.0;12:40;Transfer;Reconciled;
Transfer;2022-09-11;;[];AirBank - Společný;1434.66;1434.66;CZK;1.0;HRK;400.0;111.5246818;HRK;0.2788117045;14:01;Transfer;Reconciled;
Transfer;2022-09-09;;[];AirBank - Společný;10000.0;10000.0;CZK;1.0;AirBank - Spořící;10000.0;10000.0;CZK;1.0;10:18;Transfer;Reconciled;
Transfer;2022-09-09;;['Vklad - Honza'];KB - Personal - účet;10000.0;10000.0;CZK;1.0;AirBank - Společný;10000.0;10000.0;CZK;1.0;07:21;Transfer;Reconciled;
Transfer;2022-09-09;;['Vklad - Honza'];KB - Personal - účet;20000.0;20000.0;CZK;1.0;AirBank - Spořící;20000.0;20000.0;CZK;1.0;07:20;Transfer;Reconciled;
Transfer;2022-09-09;Záloha na Salinkartu;['Vklad - Honza'];KB - Personal - účet;500.0;500.0;CZK;1.0;AirBank - Spořící;500.0;500.0;CZK;1.0;07:18;Transfer;Reconciled;
Transfer;2022-09-09;Zaloha na Renault Laguna service, pojisteni, ruceni;['Renault Laguna', 'Vklad - Honza'];KB - Personal - účet;1000.0;1000.0;CZK;1.0;AirBank - Spořící;1000.0;1000.0;CZK;1.0;07:18;Transfer;Reconciled;
Transfer;2022-09-08;;[];AirBank - Spořící;10000.0;10000.0;CZK;1.0;AirBank - Společný;10000.0;10000.0;CZK;1.0;13:01;Transfer;Reconciled;
Transfer;2022-09-07;;[];AirBank - Spořící;5000.0;5000.0;CZK;1.0;AirBank - Společný;5000.0;5000.0;CZK;1.0;08:46;Transfer;Reconciled;
Transfer;2022-09-06;;[];AirBank - Spořící;25000.0;25000.0;CZK;1.0;AirBank - Společný;25000.0;25000.0;CZK;1.0;16:19;Transfer;Reconciled;
Transfer;2022-09-03;;[];AirBank - Společný;1000.0;1000.0;CZK;1.0;CZK - Společný;1000.0;1000.0;CZK;1.0;15:48;Transfer;Reconciled;
Transfer;2022-09-01;;[];AirBank - Spořící;2758.28;2758.28;CZK;1.0;AirBank - Společný;2758.28;2758.28;CZK;1.0;14:47;Transfer;Reconciled;
Transfer;2022-08-31;;[];AirBank - Spořící;1000.0;1000.0;CZK;1.0;AirBank - Společný;1000.0;1000.0;CZK;1.0;07:50;Transfer;Reconciled;
